id,Rule,Quantity,Occurrences,Time sequence,Time sequence (original),"Notes 
(“Consequences”)"
1,“Voldemort” or voldemort shows up,3,,"0:29:20
0:29:20
0:29:20
0:29:20
1:49:00
1:49:05
1:49:10
1:49:50
2:10:20 
2:10:30
2:16:10","0:29:20
0:29:20
0:29:20
0:29:20
1:49:00
1:49:00
1:49:00
1:49:50
2:10:20 x2 (1 name, 1 visual)
2:16:10",
2,“You’re a Wizard”,5,1,0:14:48,0:14:48,
3,“We’ll take the lot”,Finish your drink,,0:35:05,0:35:05,
,“Hogwarts”,,,"0:13:00
0:22:00
0:24:10
0:39:40
0:40:30 
0:41:50
0:49:00
0:52:20
1:14:40
1:16:30
1:24:30
1:24:40
1:50:00
2:19:50","0:13:00 ?
0:22:00 ?
0:24:10
0:39:40
0:40:30 
0:41:50
0:49:00
0:52:20
1:14:40
1:16:30
1:24:30 x2
1:50:00
2:19:50",
4,“magic”,1,,"0:01:00
0:09:00
0:09:05
0:16:44 
0:36:50","0:01:00
0:09:00 x2
0:16:44 
0:36:50",
,“Platform 9 and ¾”,,,"0:31:30
0:31:40
0:32:00
0:32:05
0:32:10","0:31:30 x2
0:32:00 x3",
,“Gryfindor” or any house is mentioned or listed in text,,,"0:40:00
0:40:05
0:40:10
0:40:15
0:43:50
0:43:55
0:43:56
0:43:57
0:45:30
0:45:31
0:45:32
0:45:33
0:45:34
0:45:35
0:45:36
0:47:00
0:47:05
0:48:00
0:48:05
0:49:30
0:59:50
1:09:00
1:09:05
1:13:00
1:14:00
1:16:00
1:16:05
1:18:00
1:18:05
1:19:00
1:23:00
1:23:40
1:23:45 
1:23:50 
1:23:52 
1:53:50
2:18:00
2:18:10
2:18:11
2:18:12
2:18:13
2:18:14
2:18:15
2:19:30 
2:18:55
2:20:10
2:20:35
2:21:10","0:40:00 x4
0:43:50 x4
0:45:30 x7? 
0:47:00 x2
0:48:00 x2
0:49:30
0:59:50
1:09:00 x2
1:13:00
1:14:00
1:16:00 x2
1:18:00 x2
1:19:00
1:23:00
1:23:40 x4 (background chanting after quidditch)
1:53:50
2:18:00 (text)
2:18:10 x6
2:19:30 
2:18:55
2:20:10
2:20:35
2:21:10",
,"“Famous” counter, or anyone references how he is a celebrity",,,"0:19:00
0:30:54
0:52:40","0:19:00
0:30:54
52:40 (celebrity)",
,“Harry Potter” (saying it in full),,,"0:19:00
0:19:05
0:34:40 
0:37:30
0:40:30
0:40:35
0:44:50
0:59:10
0:59:50
1:47:40
1:48:30
2:10:20
2:20:05","0:19:00 x2
0:34:40 
0:37:30
0:40:30 x2
0:44:50
0:59:10
0:59:50
1:47:40
1:48:30
2:10:20
2:20:05",
,Anytime someone says “Potter” as if it a derogatory term,,,"0:16:00
1:46:00
2:09:00","0:16:00
1:46:00
2:09:00",
,“Happy birthday” spoken or written,,,"0:13:00
0:13:00
0:28:00","0:13:00
0:13:00
0:28:00 Olivander",
,“Wand”,,,"0:27:00
0:27:05
0:27:10
0:27:15
0:27:20
0:51:30","0:27:00 x5
0:51:30",
,"“You know who”
“You know what”
“You know which”",,,"0:23:23
0:30:22
1:49:00","023:23?
0:30:22
0:1:49:00",
,“muggle” or “muggles”,,,"0:01:00
0:05:00
0:05:05
0:16:44
0:16:45 
0:16:46 
0:32:30
0:32:34
0:46:45","0:01:00
0:05:00 x2?
0:16:44 x3
0:32:30 x2
0:46:45",
,“Nimbus 2000”,,,"0:21:20
1:15:20","0:21:20
1:15:20",
,“Mr Longbottom”,,,"0:56:30
0:56:31
0:56:32
0:56:33",0:56:30 3 or 4,
,“Quidditch”,,,"0:57:50
0:59:00
1:00:00
1:00:05
1:03:57
1:14:00
1:16:30
1:34:20
1:34:25","0:57:50
0:59:00
1:00:00 x2? (lost)
1:03:57
1:14:00
1:16:30
1:34:20 x2",
,"“Golden Snitch”
“snitch”",,,"1:06:00
1:23:00","1:06:00
1:23:00",
,“seeker”,,,"0:55:10
0:56:00
0:57:00
0:58:00
1:00:00
1:01:00
1:17:30
2:00:00","6x? Around 50 - 1hr (backtrack, started recording at 1:06)
1:17:30
2:00:00",
,"“Nicolas flemel”
Or “nicolas”",,,"1:24:40
1:24:42
1:24:44
1:24:46
1:26:30
1:29:00
1:29:05
1:38:00
1:38:05
2:15:00 
2:15:05","1:24:40 x4
1:26:30
1:29:00 x2
1:38:00 x2
2:15:00 x2 (“Nicolas”)",
,“Christmas”,,,1:26:00,1:26:??,
,“Invisibility” “cloak”,,,"1:28:30
1:54:00","1:28:30
1:54:00 (they wear it)",
,“unicorn”,,,"1:48:30
1:48:35
1:49:00
2:10:40","… xN (rewatch)
1:48:30 x2?
1:49:00
2:10:40 (“unicorn blood from voldemort)",
,“dumbledore”,,,"1:49:50
2:09:40","… N rewatch
1:49:50
2:09:40",
